2011-11-15 15:04:52 Notice: Notice (8): Undefined index: cve in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/index.ctp, line 24]
2011-11-15 15:04:52 Notice: Notice (8): Undefined index: nom in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/index.ctp, line 25]
2011-11-15 15:04:52 Notice: Notice (8): Undefined index: id in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/index.ctp, line 26]
2011-11-15 15:04:52 Notice: Notice (8): Undefined index: id in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/index.ctp, line 28]
2011-11-15 15:04:52 Notice: Notice (8): Undefined index: id in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/index.ctp, line 30]
2011-11-15 15:04:52 Notice: Notice (8): Undefined index: id in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/index.ctp, line 32]
2011-11-15 15:05:05 Notice: Notice (8): Undefined index: cve in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/index.ctp, line 24]
2011-11-15 15:05:05 Notice: Notice (8): Undefined index: nom in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/index.ctp, line 25]
2011-11-15 15:05:05 Notice: Notice (8): Undefined index: id in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/index.ctp, line 26]
2011-11-15 15:05:05 Notice: Notice (8): Undefined index: id in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/index.ctp, line 28]
2011-11-15 15:05:05 Notice: Notice (8): Undefined index: id in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/index.ctp, line 30]
2011-11-15 15:05:05 Notice: Notice (8): Undefined index: id in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/index.ctp, line 32]
2011-11-15 15:13:58 Notice: Notice (8): Undefined index: cve in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/index.ctp, line 24]
2011-11-15 15:13:58 Notice: Notice (8): Undefined index: nom in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/index.ctp, line 25]
2011-11-15 15:13:58 Notice: Notice (8): Undefined index: id in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/index.ctp, line 26]
2011-11-15 15:13:58 Notice: Notice (8): Undefined index: id in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/index.ctp, line 28]
2011-11-15 15:13:58 Notice: Notice (8): Undefined index: id in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/index.ctp, line 30]
2011-11-15 15:13:58 Notice: Notice (8): Undefined index: id in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/index.ctp, line 32]
2011-11-15 15:17:00 Notice: Notice (8): Undefined index: cve in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/index.ctp, line 24]
2011-11-15 15:17:00 Notice: Notice (8): Undefined index: nom in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/index.ctp, line 25]
2011-11-15 15:17:00 Notice: Notice (8): Undefined index: id in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/index.ctp, line 26]
2011-11-15 15:17:00 Notice: Notice (8): Undefined index: id in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/index.ctp, line 28]
2011-11-15 15:17:00 Notice: Notice (8): Undefined index: id in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/index.ctp, line 30]
2011-11-15 15:17:00 Notice: Notice (8): Undefined index: id in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/index.ctp, line 32]
2011-11-15 15:18:12 Notice: Notice (8): Undefined index: cve in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/index.ctp, line 23]
2011-11-15 15:18:12 Notice: Notice (8): Undefined index: nom in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/index.ctp, line 24]
2011-11-15 15:18:12 Notice: Notice (8): Undefined index: id in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/index.ctp, line 26]
2011-11-15 15:18:12 Notice: Notice (8): Undefined index: id in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/index.ctp, line 28]
2011-11-15 15:18:12 Notice: Notice (8): Undefined index: id in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/index.ctp, line 30]
2011-11-15 15:18:25 Notice: Notice (8): Undefined index: id in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/index.ctp, line 26]
2011-11-15 15:18:25 Notice: Notice (8): Undefined index: id in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/index.ctp, line 28]
2011-11-15 15:18:25 Notice: Notice (8): Undefined index: id in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/index.ctp, line 30]
2011-11-15 15:19:03 Notice: Notice (8): Undefined index: id in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/elements/divisas/form.ctp, line 10]
2011-11-15 15:19:03 Notice: Notice (8): Undefined index: created in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/elements/divisas/form.ctp, line 18]
2011-11-15 15:19:03 Notice: Notice (8): Undefined index: modified in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/elements/divisas/form.ctp, line 24]
2011-11-15 15:24:58 Notice: Notice (8): Undefined index: cve in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/view.ctp, line 6]
2011-11-15 15:24:58 Notice: Notice (8): Undefined index: nom in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/view.ctp, line 8]
2011-11-15 15:24:58 Notice: Notice (8): Undefined index: id in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/view.ctp, line 10]
2011-11-15 15:24:58 Notice: Notice (8): Undefined index: created in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/view.ctp, line 12]
2011-11-15 15:24:58 Notice: Notice (8): Undefined index: modified in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/view.ctp, line 14]
2011-11-15 15:25:31 Notice: Notice (8): Undefined index: id in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/elements/divisas/form.ctp, line 10]
2011-11-15 15:25:31 Notice: Notice (8): Undefined index: created in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/elements/divisas/form.ctp, line 18]
2011-11-15 15:25:31 Notice: Notice (8): Undefined index: modified in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/elements/divisas/form.ctp, line 24]
2011-11-15 15:25:39 Notice: Notice (8): Undefined index: cve in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/view.ctp, line 6]
2011-11-15 15:25:39 Notice: Notice (8): Undefined index: nom in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/view.ctp, line 8]
2011-11-15 15:25:39 Notice: Notice (8): Undefined index: id in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/view.ctp, line 10]
2011-11-15 15:25:39 Notice: Notice (8): Undefined index: created in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/view.ctp, line 12]
2011-11-15 15:25:39 Notice: Notice (8): Undefined index: modified in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/view.ctp, line 14]
2011-11-15 15:26:13 Notice: Notice (8): Undefined index: nom in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/view.ctp, line 8]
2011-11-15 15:26:13 Notice: Notice (8): Undefined index: created in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/view.ctp, line 12]
2011-11-15 15:26:13 Notice: Notice (8): Undefined index: modified in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/view.ctp, line 14]
2011-11-15 15:26:28 Notice: Notice (8): Undefined index: created in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/view.ctp, line 12]
2011-11-15 15:26:28 Notice: Notice (8): Undefined index: modified in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/view.ctp, line 14]
2011-11-15 15:26:56 Notice: Notice (8): Undefined index: crefec in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/view.ctp, line 12]
2011-11-15 15:26:56 Notice: Notice (8): Undefined index: modfec in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/view.ctp, line 14]
2011-11-15 15:27:08 Notice: Notice (8): Undefined index: created in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/view.ctp, line 12]
2011-11-15 15:27:08 Notice: Notice (8): Undefined index: modified in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/view.ctp, line 14]
2011-11-16 20:03:26 Notice: Notice (8): Undefined index: id in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/elements/divisas/form.ctp, line 10]
2011-11-16 22:25:18 Notice: Notice (8): Undefined property: ThemeView::$Controller in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 30]
2011-11-16 22:25:19 Notice: Notice (8): Undefined property: ThemeView::$Controller in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 30]
2011-11-16 22:25:27 Notice: Notice (8): Undefined property: ThemeView::$ControllerName in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 30]
2011-11-16 22:25:28 Notice: Notice (8): Undefined property: ThemeView::$ControllerName in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 30]
2011-11-16 22:33:50 Notice: Notice (8): Undefined index: id in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/elements/divisas/form.ctp, line 10]
2011-11-17 15:31:27 Notice: Notice (8): Use of undefined constant ax_company_name - assumed 'ax_company_name' in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 30]
2011-11-17 15:31:27 Notice: Notice (8): Use of undefined constant ax_company_name - assumed 'ax_company_name' in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 30]
2011-11-17 15:31:32 Notice: Notice (8): Use of undefined constant ax_company_name - assumed 'ax_company_name' in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 30]
2011-11-17 15:31:33 Notice: Notice (8): Use of undefined constant ax_company_name - assumed 'ax_company_name' in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 30]
2011-11-17 15:31:37 Notice: Notice (8): Use of undefined constant ax_company_name - assumed 'ax_company_name' in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 30]
2011-11-17 15:31:37 Notice: Notice (8): Use of undefined constant ax_company_name - assumed 'ax_company_name' in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 30]
2011-11-17 15:31:53 Notice: Notice (8): Use of undefined constant ax_company_common_name - assumed 'ax_company_common_name' in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 30]
2011-11-17 15:31:54 Notice: Notice (8): Use of undefined constant ax_company_common_name - assumed 'ax_company_common_name' in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 30]
2011-11-17 15:43:37 Notice: Notice (8): Use of undefined constant php - assumed 'php' in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/index.ctp, line 33]
2011-11-24 10:26:28 Notice: Notice (8): Undefined property: ThemeView::$_schema in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 63]
2011-11-24 10:26:29 Notice: Notice (8): Undefined property: ThemeView::$_schema in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 63]
2011-11-24 10:26:52 Notice: Notice (8): Undefined property: ThemeView::$Data in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 63]
2011-11-24 10:26:52 Notice: Notice (8): Trying to get property of non-object in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 63]
2011-11-24 10:26:53 Notice: Notice (8): Undefined property: ThemeView::$Data in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 63]
2011-11-24 10:26:53 Notice: Notice (8): Trying to get property of non-object in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 63]
2011-11-24 10:27:28 Notice: Notice (8): Undefined property: ThemeView::$Data in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 63]
2011-11-24 10:27:28 Notice: Notice (8): Trying to get property of non-object in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 63]
2011-11-24 10:27:29 Notice: Notice (8): Undefined property: ThemeView::$Data in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 63]
2011-11-24 10:27:29 Notice: Notice (8): Trying to get property of non-object in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 63]
2011-11-24 10:27:42 Notice: Notice (8): Undefined property: ThemeView::$Model in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 63]
2011-11-24 10:27:42 Notice: Notice (8): Trying to get property of non-object in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 63]
2011-11-24 10:27:42 Notice: Notice (8): Undefined property: ThemeView::$Model in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 63]
2011-11-24 10:27:42 Notice: Notice (8): Trying to get property of non-object in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 63]
2011-11-24 10:27:54 Notice: Notice (8): Undefined variable: Data in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 63]
2011-11-24 10:27:54 Notice: Notice (8): Trying to get property of non-object in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 63]
2011-11-24 10:27:54 Notice: Notice (8): Undefined variable: Data in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 63]
2011-11-24 10:27:54 Notice: Notice (8): Trying to get property of non-object in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 63]
2011-11-24 13:18:53 Notice: Notice (8): Use of undefined constant this - assumed 'this' in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/index.ctp, line 70]
2011-11-24 13:18:53 Notice: Notice (8): Use of undefined constant id - assumed 'id' in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/divisas/index.ctp, line 70]
2011-11-24 14:17:08 Notice: Notice (8): Undefined property: DivisasController::$Data in [/Users/Shared/Develop/www/www.idd/junior20cake/app/controllers/divisas_controller.php, line 31]
2011-11-24 19:54:38 Notice: Notice (8): Undefined variable: thisID in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/elements/divisas/form.ctp, line 29]
2011-11-24 19:54:38 Notice: Notice (8): Undefined variable: thisID in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/elements/divisas/form.ctp, line 31]
2011-11-24 19:54:38 Notice: Notice (8): Undefined variable: thisID in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/elements/divisas/form.ctp, line 32]
2011-11-24 19:55:30 Notice: Notice (8): Undefined variable: thisID in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/elements/divisas/form.ctp, line 32]
2011-11-24 20:05:02 Notice: Notice (8): Undefined property: ThemeView::$Action in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 34]
2011-11-24 20:05:02 Notice: Notice (8): Undefined property: ThemeView::$Action in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 34]
2011-11-24 20:05:16 Notice: Notice (8): Undefined property: ThemeView::$Controller in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 34]
2011-11-24 20:05:16 Notice: Notice (8): Trying to get property of non-object in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 34]
2011-11-24 20:05:17 Notice: Notice (8): Undefined property: ThemeView::$Controller in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 34]
2011-11-24 20:05:17 Notice: Notice (8): Trying to get property of non-object in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 34]
2011-11-24 20:05:35 Notice: Notice (8): Undefined property: ThemeView::$Divisa in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 34]
2011-11-24 20:05:35 Notice: Notice (8): Trying to get property of non-object in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 34]
2011-11-24 20:05:35 Notice: Notice (8): Undefined property: ThemeView::$Divisa in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 34]
2011-11-24 20:05:35 Notice: Notice (8): Trying to get property of non-object in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 34]
2011-11-24 20:05:51 Notice: Notice (8): Undefined property: ThemeView::$Divisas in [/Users/Shared/Develop/www/www.idd/junior20cake/app/views/layouts/default.ctp, line 34]
